Amount,Term,Income,Interest,PMT,FICO,Approval
267941,180,52113,5.67,2213.547571,667,0
383713,120,119598,9.13,4887.751549,698,1
481244,360,105437,5.29,2669.382573,592,0
382845,120,56441,4.84,4030.790108,657,0
315850,120,76856,5.11,3367.0874,850,0
479333,360,52634,3.78,2228.033498,737,0
254761,360,109797,7.65,1807.565789,696,1
236815,180,46623,5.09,1883.83926,679,0
293288,180,89154,8.47,2882.967753,697,1
230175,120,113933,6.88,2658.313154,583,0
424223,360,111716,4.6,2174.755318,692,1
166778,180,51337,5.17,1333.686201,753,1
227879,180,71263,8.51,2245.350622,797,1
266744,360,69390,7.32,1832.346215,667,0
494059,360,86469,8.97,3964.650377,596,0
366488,180,82598,3.3,2584.112048,695,1
267711,180,108311,7.39,2465.009262,670,0
243023,120,56220,5.25,2607.435115,710,0
368096,360,41224,6.14,2240.161905,613,0
416964,361,91152,6.26,2567.612605,631,0
157875,362,102609,5.05,850.3261259,610,0
163891,363,59351,8.16,1218.561857,750,1
477724,364,50503,7.6,3363.454996,818,0
416172,365,64069,6.83,2710.159946,704,0
451921,366,47992,8.68,3520.670143,756,0
450306,367,116470,7.2,3040.251799,601,0
468923,368,119591,3.07,1968.350582,581,0
335310,369,80907,4.36,1651.472572,775,1
496800,370,94549,3.72,2258.685439,695,1
306334,371,113982,8.37,2312.097026,617,0
355012,372,54892,4.64,1801.381034,631,0
467284,373,55519,8.17,3456.519843,636,0
495806,374,76867,6.42,3069.869792,823,1
136147,375,92336,3.78,619.2656868,651,0
315754,376,85530,5.59,1781.198496,614,0
245893,377,54989,6.3,1499.156139,791,1
164431,378,51900,6.68,1043.300479,681,1
396309,379,59933,4.52,1965.54969,708,1
484187,380,88510,7.08,3198.809796,837,1
402592,381,90855,7.75,2844.905208,842,1
110858,382,47115,4.94,576.3520207,641,0
140508,383,48295,6.51,872.0601286,803,1
279931,384,92466,4.35,1351.565534,758,1
111610,385,69145,5.31,604.281167,790,1
336453,386,48576,9.25,2734.630728,641,0
313688,387,102054,8.17,2302.322782,810,1
154057,388,118376,5.99,899.2752413,792,1
265407,389,73544,3.5,1141.89336,640,0
150615,390,81266,9.25,1222.160373,704,1
389877,391,111230,3.79,1737.807201,597,0
247682,392,71167,5.36,1339.832357,735,1
263213,393,101697,3.81,1173.261726,689,1
431501,394,105650,4.59,2122.001044,719,1
286718,395,44943,9.15,2300.719252,773,0
146287,396,107266,5.3,782.7910961,705,1
389973,397,99538,3.87,1743.171218,822,1
324072,398,73669,5.98,1874.120932,585,0
417218,399,93065,3.63,1802.066746,782,1
347008,400,58905,7.08,2262.455291,818,1
158104,401,66520,4.78,790.2710215,773,1
137188,402,60826,3.02,542.9096326,788,1
256621,403,114585,4.75,1275.328559,660,0
455702,404,63664,3.26,1859.375296,837,1
231347,405,70838,4.6,1125.915279,794,1
